Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9
60,30,19.89,47.59666666666671,19.2,44.79,19.79,44.73,19.0,45.5666666666667,17.1666666666667,55.2,7.02666666666667,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53
60,30,19.89,46.69333333333329,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1666666666667,55.2,6.8333333333333295,84.06333333333329,17.2,41.56,18.2,48.863333333333294,17.0666666666667,45.56
50,30,19.89,46.3,19.2,44.6266666666667,19.79,44.933333333333294,18.9266666666667,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2,41.433333333333294,18.2,48.73,17.0,45.5
50,40,19.89,46.0666666666667,19.2,44.59,19.79,45.0,18.89,45.723333333333294,17.1666666666667,55.09,6.43333333333333,83.42333333333329,17.1333333333333,41.29,18.1,48.59,17.0,45.4
60,40,19.89,46.33333333333329,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.36666666666667,84.8933333333333,17.2,41.23,18.1,48.59,17.0,45.4
50,40,19.89,46.0266666666667,19.2,44.5,19.79,44.933333333333294,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17.0,45.29
60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29
60,50,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.863333333333294,17.1,54.9,6.19,86.42333333333329,17.1,41.2,18.1,48.59,17.0,45.29
60,40,19.79,45.5975,19.2,44.433333333333294,19.73,44.79,18.89,45.79,17.1666666666667,55.0,6.1233333333333295,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17.0,45.29
70,40,19.8566666666667,46.09,19.23,44.4,19.79,44.863333333333294,18.89,46.09666666666671,17.1,55.0,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17.0,45.29
230,70,19.9266666666667,45.863333333333294,19.3566666666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666666667,17.2475,42.7175,18.1,48.59,17.0,45.29
580,60,20.066666666666695,46.3966666666667,19.4266666666667,44.4,19.79,44.8266666666667,19.0,46.43,17.1,55.0,6.1233333333333295,87.9933333333333,17.53,44.26333333333329,18.066666666666695,48.6333333333333,16.89,45.29
430,50,20.1333333333333,48.0,19.566666666666695,44.4,19.89,44.9,19.0,46.363333333333294,17.1,55.09,6.1233333333333295,88.59,17.8233333333333,45.4933333333333,18.066666666666695,48.56,16.9633333333333,45.29
250,40,20.26,52.7266666666667,19.73,45.1,19.89,45.4933333333333,19.0,47.223333333333294,17.1,55.1633333333333,6.0675,88.215,17.9633333333333,46.16,18.033333333333296,48.66666666666671,16.89,45.3266666666667
100,10,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329,20.033333333333296,47.5266666666667,19.0,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.9633333333333,45.533333333333296,18.1,49.19333333333329,16.89,45.345
100,10,20.566666666666695,53.893333333333295,20.033333333333296,46.7566666666667,20.1,48.4666666666667,19.0,48.49,17.15,56.0425,5.8,88.3666666666667,17.89,44.9266666666667,18.15,49.2,16.89,45.3266666666667
90,10,20.73,52.66,20.1666666666667,47.223333333333294,20.2,48.53,18.9266666666667,48.1566666666667,17.1666666666667,56.49,5.72666666666667,88.15999999999998,17.76,44.2666666666667,18.23,49.6333333333333,16.89,45.29
70,30,20.8566666666667,53.66,20.2,47.05666666666671,20.2,48.4475,18.89,47.963333333333296,17.2,56.933333333333294,5.52666666666667,87.29999999999998,17.7,43.7266666666667,18.3566666666667,50.0266666666667,16.89,45.29
80,30,20.89,51.19333333333329,20.2,46.33,20.2,48.19333333333329,18.963333333333296,48.63,17.2,57.06,5.3333333333333295,86.76,17.6666666666667,43.16,18.533333333333296,50.2,16.89,45.2
140,40,20.89,49.8,20.2,46.0266666666667,20.1666666666667,47.6333333333333,19.033333333333296,49.5,17.5933333333333,70.7266666666667,5.3333333333333295,87.4633333333333,17.6,42.69333333333329,18.6666666666667,50.26,16.89,45.2
120,20,20.89,48.433333333333294,20.2,45.7225,20.1666666666667,47.3,19.175,49.9475,18.066666666666695,79.0,5.46666666666667,87.53,17.6,42.33333333333329,18.73,50.23,16.89,45.1266666666667
190,40,20.963333333333296,47.6333333333333,20.26,45.53,20.2,47.0266666666667,19.26,49.6966666666667,17.6666666666667,79.73,5.5,86.9566666666667,17.5333333333333,42.0666666666667,18.8566666666667,50.29,16.89,45.1266666666667
110,40,21.033333333333296,47.0633333333333,20.29,45.223333333333294,20.26,46.8266666666667,19.323333333333295,49.16666666666671,17.6,79.2566666666667,5.56,86.56333333333329,17.6333333333333,43.6333333333333,18.89,50.1633333333333,16.89,45.06
110,40,21.1,46.59666666666671,20.3566666666667,44.963333333333296,20.29,46.6333333333333,19.39,48.4266666666667,17.5666666666667,78.3933333333333,5.6233333333333295,86.33,17.76,43.6333333333333,18.963333333333296,50.03,16.89,45.0
110,30,21.1333333333333,46.06,20.4266666666667,44.76,20.29,46.433333333333294,19.39,48.19333333333329,17.76,82.45999999999998,5.763333333333329,86.06333333333329,17.8566666666667,43.46,19.0,49.76,16.89,44.9666666666667
